


商品名称 ：铜                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,253518,41069,期货公司  ,347786,10783,期货公司  ,341642,10183,
非期货公司,1570,-617,非期货公司,1873,233,非期货公司,8017,833,
合约代码 ：cu2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
2,东证期货  ,3697,-455,2,中信期货  ,4978,-442,2,银河期货  ,5502,579,
3,中信期货  ,3230,-3172,3,国信期货  ,4608,630,3,鲁证期货  ,4972,166,
4,金瑞期货  ,1673,515,4,兴业期货  ,3647,-26,4,广发期货  ,3649,-18,
5,国富期货  ,1294,-1544,5,国投安信  ,3528,-59,5,永安期货  ,3557,-709,
6,华泰期货  ,1291,-465,6,信达期货  ,3461,-2,6,华泰期货  ,3554,-53,
7,云晨期货  ,1290,-1174,7,华安期货  ,3168,-25,7,华安期货  ,3415,0,
8,中粮期货  ,1242,-55,8,中国国际  ,3023,-714,8,中粮期货  ,3155,311,
9,兴证期货  ,1195,-222,9,上海中期  ,3013,4,9,国投安信  ,2764,86,
10,银河期货  ,1091,-280,10,建信期货  ,2876,-69,10,国贸期货  ,2588,0,
11,中辉期货  ,1063,34,11,华泰期货  ,2874,80,11,国泰君安  ,2526,-284,
12,永安期货  ,1031,-210,12,银河期货  ,2564,174,12,方正中期  ,2210,-19,
13,国投安信  ,919,-438,13,国金期货  ,2358,240,13,南华期货  ,2098,39,
14,东吴期货  ,869,121,14,国泰君安  ,1991,4,14,建信期货  ,1933,21,
15,国信期货  ,858,36,15,方正中期  ,1936,-7,15,先融期货  ,1912,0,
16,一德期货  ,729,-811,16,一德期货  ,1922,133,16,金瑞期货  ,1830,-255,
17,鲁证期货  ,718,177,17,鲁证期货  ,1875,-262,17,首创期货  ,1799,205,
18,中国国际  ,715,-3476,18,永安期货  ,1787,-190,18,上海中期  ,1794,-113,
19,国泰君安  ,712,-1632,19,海通期货  ,1721,321,19,新湖期货  ,1662,-13,
20,倍特期货  ,676,-993,20,东亚期货  ,1699,0,20,一德期货  ,1411,-458,
合计,,30634,-16785,合计,,58309,-1400,合计,,66809,-197,
合约代码 ：al2004                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,4143,1726,1,广发期货  ,7209,57,1,中信期货  ,11438,-835,
2,海通期货  ,4090,-742,2,中信期货  ,5271,464,2,国泰君安  ,10334,-274,
3,东证期货  ,3773,-579,3,中粮期货  ,5069,-51,3,海通期货  ,7157,68,
4,国富期货  ,2302,-302,4,方正中期  ,4702,84,4,国信期货  ,6153,701,
5,中辉期货  ,1777,-291,5,广州期货  ,4040,0,5,鲁证期货  ,3848,144,
6,国信期货  ,1490,572,6,国信期货  ,3773,11,6,中国国际  ,3446,57,
7,永安期货  ,1390,21,7,华泰期货  ,3570,4,7,银河期货  ,3405,642,
8,国泰君安  ,1354,110,8,国投安信  ,3248,-687,8,云晨期货  ,2650,210,
9,申万期货  ,1325,-309,9,五矿经易  ,3047,82,9,永安期货  ,2591,573,
10,银河期货  ,1288,646,10,上海中期  ,2893,97,10,广发期货  ,2589,-58,
11,五矿经易  ,1270,-486,11,信达期货  ,2836,7,11,华泰期货  ,2580,16,
12,国投安信  ,1243,413,12,银河期货  ,2648,120,12,建信期货  ,2498,28,
13,倍特期货  ,1020,-951,13,金瑞期货  ,2585,26,13,南华期货  ,2449,-10,
14,山金期货  ,788,785,14,倍特期货  ,2500,146,14,一德期货  ,2384,-271,
15,方正中期  ,591,152,15,兴业期货  ,2423,5,15,国投安信  ,2267,92,
16,一德期货  ,575,-712,16,建信期货  ,2351,1,16,上海中期  ,1938,25,
17,华西期货  ,554,481,17,永安期货  ,2192,257,17,中粮期货  ,1571,-1,
18,华安期货  ,523,257,18,华安期货  ,1821,4,18,方正中期  ,1326,41,
19,东吴期货  ,506,209,19,光大期货  ,1802,-11,19,宏源期货  ,1205,-43,
20,华泰期货  ,502,-181,20,云晨期货  ,1650,0,20,东证期货  ,1100,-29,
合计,,30504,819,合计,,65630,616,合计,,72929,1076,
合约代码 ：al2005                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,2325,-1045,1,中信期货  ,4765,461,1,中信期货  ,5094,-232,
2,东证期货  ,1920,-447,2,银河期货  ,4092,2,2,国信期货  ,4984,-8,
3,申万期货  ,1436,-1016,3,一德期货  ,3137,398,3,东证期货  ,4136,-11,
4,中信期货  ,1101,399,4,上海中期  ,3037,0,4,国泰君安  ,3714,14,
5,中粮期货  ,1066,31,5,国信期货  ,2930,13,5,云晨期货  ,3549,1040,
6,云晨期货  ,1040,321,6,华泰期货  ,2839,119,6,广州期货  ,2750,0,
7,一德期货  ,897,410,7,光大期货  ,2511,0,7,一德期货  ,2332,89,
8,中辉期货  ,894,-881,8,南华期货  ,2461,54,8,银河期货  ,2242,-91,
9,国投安信  ,861,626,9,海通期货  ,2241,-102,9,金瑞期货  ,1968,-129,
10,倍特期货  ,758,-818,10,金瑞期货  ,2237,0,10,华泰期货  ,1833,-29,
11,国富期货  ,704,-98,11,永安期货  ,2140,-510,11,广发期货  ,1824,115,
12,永安期货  ,525,-23,12,建信期货  ,1915,401,12,中信建投  ,1790,0,
13,建信期货  ,503,315,13,信达期货  ,1789,1,13,中国国际  ,1710,1,
14,格林大华  ,425,418,14,云晨期货  ,1610,0,14,中钢期货  ,1627,0,
15,华闻期货  ,419,46,15,新湖期货  ,1564,1,15,鲁证期货  ,1452,57,
16,华泰期货  ,370,-782,16,国投安信  ,1499,-793,16,兴业期货  ,1355,0,
17,华融期货  ,345,0,17,方正中期  ,1481,217,17,建信期货  ,1344,20,
18,南华期货  ,330,-40,18,中粮期货  ,1406,27,18,上海中期  ,1263,73,
19,方正中期  ,314,143,19,五矿经易  ,1254,51,19,国投安信  ,1098,2,
20,银河期货  ,277,-417,20,瑞达期货  ,1088,-67,20,倍特期货  ,1037,-300,
合计,,16510,-2858,合计,,45996,273,合计,,47102,611,
合约代码 ：al2006                        2020-02-13,
