

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
合计,,4963,606,合计,,11086,272,合计,,14842,606,
商品名称 ：铝                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,409586,124426,期货公司  ,416135,-1904,期货公司  ,427523,-2842,
非期货公司,1738,1378,非期货公司,11458,-938,非期货公司,70,0,
合约代码 ：al2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,5805,2675,1,银河期货  ,4495,-445,1,中信期货  ,7665,-1595,
2,建信期货  ,2570,-535,2,中信期货  ,4360,-380,2,鲁证期货  ,3250,-315,
3,首创期货  ,1775,1495,3,一德期货  ,2045,895,3,云晨期货  ,2535,-1175,
4,华泰期货  ,1700,625,4,国贸期货  ,2020,85,4,建信期货  ,1705,-890,
5,国信期货  ,1700,-700,5,广发期货  ,1130,280,5,国泰君安  ,1295,0,
6,新湖期货  ,1520,1520,6,金瑞期货  ,1000,0,6,南华期货  ,1040,-260,
7,海通期货  ,1510,110,7,大地期货  ,1000,0,7,海通期货  ,940,0,
8,一德期货  ,1425,725,8,永安期货  ,655,20,8,新湖期货  ,900,-760,
9,云晨期货  ,1175,-305,9,国泰君安  ,535,-10,9,广发期货  ,515,5,
10,银河期货  ,1060,735,10,迈科期货  ,500,0,10,一德期货  ,380,0,
11,中粮期货  ,840,-335,11,华安期货  ,440,0,11,申万期货  ,300,10,
12,东证期货  ,670,60,12,中粮期货  ,410,-840,12,华泰期货  ,220,-900,
13,南华期货  ,630,55,13,中大期货  ,400,-200,13,东证期货  ,180,60,
14,鲁证期货  ,385,75,14,国投安信  ,380,-40,14,国贸期货  ,170,0,
15,广发期货  ,365,105,15,瑞达期货  ,340,0,15,银河期货  ,165,-95,
16,国投安信  ,265,-615,16,先融期货  ,320,10,16,中原期货  ,160,0,
17,中大期货  ,200,5,17,南华期货  ,265,30,17,中信建投  ,155,100,
18,中信建投  ,190,135,18,华金期货  ,205,-70,18,国投安信  ,140,-195,
19,国海良时  ,140,-310,19,国金期货  ,185,-30,19,方正中期  ,55,0,
20,东亚期货  ,100,100,20,倍特期货  ,140,10,20,中粮期货  ,50,0,
合计,,24025,5620,合计,,20825,-685,合计,,21820,-6010,
合约代码 ：al2004                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,12625,1865,1,中信期货  ,15712,792,1,云晨期货  ,11809,-1581,
2,东证期货  ,9198,3862,2,银河期货  ,6162,-348,2,中信期货  ,11611,-116,
3,国富期货  ,6450,1977,3,国贸期货  ,5422,1510,3,中国国际  ,9687,-1005,
4,中信期货  ,5938,3311,4,华泰期货  ,4629,40,4,国泰君安  ,9000,892,
5,广发期货  ,3773,2490,5,国投安信  ,4586,-1,5,永安期货  ,5278,-36,
6,云晨期货  ,3665,1738,6,国信期货  ,4481,-57,6,中粮期货  ,5065,-141,
7,中辉期货  ,2268,844,7,广发期货  ,3766,-145,7,南华期货  ,4375,35,
8,华泰期货  ,2191,1650,8,国泰君安  ,3525,-143,8,建信期货  ,4145,1024,
