

商品名称 ：铜                  2020-02-19,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,200097,-18534,期货公司  ,344196,4569,期货公司  ,338405,4584,
非期货公司,879,-824,非期货公司,2068,-49,非期货公司,7859,-64,
合约代码 ：cu2003                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
5,方正中期  ,739,-343,5,方正中期  ,2362,128,5,国投安信  ,2450,158,
6,建信期货  ,734,-268,6,五矿经易  ,2243,-3,6,华泰期货  ,2256,-77,
7,永安期货  ,710,-2601,7,广发期货  ,1253,10,7,中信期货  ,2101,-30,
8,一德期货  ,638,63,8,南华期货  ,1233,32,8,华闻期货  ,1966,-159,
9,上海中期  ,575,486,9,国泰君安  ,1209,186,9,摩根大通  ,1928,90,
10,国富期货  ,562,-231,10,东证期货  ,1196,-68,10,方正中期  ,1872,-321,
11,东亚期货  ,488,-1079,11,银河期货  ,1031,48,11,兴业期货  ,1315,131,
12,国投安信  ,423,119,12,浙商期货  ,1028,78,12,国贸期货  ,1164,-6,
13,国泰君安  ,414,-242,13,先融期货  ,792,5,13,东证期货  ,1137,60,
14,国信期货  ,413,117,14,长江期货  ,756,42,14,一德期货  ,1035,-180,
15,中辉期货  ,368,-198,15,中国国际  ,724,42,15,中信建投  ,928,35,
16,华闻期货  ,353,92,16,华泰期货  ,694,23,16,金汇期货  ,860,0,
17,鲁证期货  ,302,-39,17,金瑞期货  ,671,143,17,建信期货  ,795,708,
18,国金期货  ,289,-314,18,申万期货  ,598,13,18,中金期货  ,721,14,
19,西部期货  ,276,-76,19,铜冠金源  ,588,5,19,广发期货  ,648,-32,
20,华安期货  ,274,101,20,招商期货  ,577,30,20,国泰君安  ,594,56,
合计,,16364,-2955,合计,,31897,1073,合计,,35016,1279,
合约代码 ：zn2006                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,国富期货  ,797,0,1,国金期货  ,3513,-2,1,五矿经易  ,3034,67,
2,方正中期  ,653,353,2,中信期货  ,2355,7,2,浙商期货  ,2546,39,
3,国金期货  ,572,531,3,浙商期货  ,2300,21,3,方正中期  ,1449,0,
4,建信期货  ,427,167,4,方正中期  ,2160,-247,4,海通期货  ,1000,-2,
5,东证期货  ,378,-101,5,海通期货  ,1620,4,5,永安期货  ,996,193,
6,中信期货  ,351,-41,6,建信期货  ,513,2,6,国投安信  ,931,32,
7,东亚期货  ,314,-354,7,中信建投  ,403,3,7,中信期货  ,893,-16,
8,广发期货  ,280,161,8,兴业期货  ,348,0,8,云晨期货  ,731,60,
9,五矿经易  ,265,78,9,东证期货  ,343,-66,9,先融期货  ,634,2,
10,华泰期货  ,258,-140,10,中钢期货  ,290,0,10,建信期货  ,557,425,
11,永安期货  ,220,-429,11,一德期货  ,195,20,11,东亚期货  ,536,-289,
