					郑州商品交易所期货持仓排名表(2020-03-04)

品种：苹果AP              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
17    |中融汇信      |1           |1         |上海中期      |7         |0         |江西瑞奇      |0         |0         
18    |宁证期货      |1           |1         |平安期货      |7         |0         |盛达期货      |0         |0         
19    |铜冠金源      |1           |1         |国投安信期货  |6         |0         |徽商期货      |0         |0         
20    |浙商期货      |1           |-1        |格林大华期货  |5         |0         |华龙期货      |0         |0         
合计  |              |112         |16        |                |353       |1         |              |450       |5         

品种：晚籼LR              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |新纪元期货    |0           |0         |金元期货      |5         |0         |国元期货      |2         |0         
2     |方正中期      |0           |0         |新纪元期货    |1         |0         |方正中期      |1         |0         
3     |国元期货      |0           |0         |中信期货      |1         |0         |大地期货      |1         |0         
4     |中信期货      |0           |0         |方正中期      |0         |0         |安粮期货      |1         |0         
5     |金元期货      |0           |0         |国元期货      |0         |0         |大有期货      |1         |0         
6     |大地期货      |0           |0         |大地期货      |0         |0         |中辉期货      |1         |0         
7     |安粮期货      |0           |0         |安粮期货      |0         |0         |新纪元期货    |0         |0         
8     |大有期货      |0           |0         |大有期货      |0         |0         |中信期货      |0         |0         
9     |中辉期货      |0           |0         |中辉期货      |0         |0         |金元期货      |0         |0         
合计  |              |0           |0         |                |7         |0         |              |7         |0         

品种：甲醇MA              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |211,773     |-30,527   |东证期货      |96,404    |-7,682    |东证期货      |92,841    |-9,843    
2     |中信期货      |71,842      |-3,430    |华泰期货      |52,971    |-8,079    |申银万国      |69,721    |5,586     
3     |华泰期货      |69,645      |-39,885   |中信期货      |47,325    |2,526     |华泰期货      |66,233    |-5,858    
4     |东吴期货      |65,560      |-14,849   |海通期货      |34,353    |-2,334    |中信期货      |63,207    |4,100     
5     |华闻期货      |64,757      |-6,114    |东吴期货      |31,616    |-390      |海通期货      |44,250    |-786      
6     |光大期货      |60,825      |-23,720   |光大期货      |30,665    |9,952     |东吴期货      |36,749    |-1,826    
7     |新湖期货      |45,884      |-24,838   |永安期货      |29,907    |188       |永安期货      |36,582    |2,545     
8     |冠通期货      |45,708      |-1,766    |徽商期货      |26,599    |953       |中粮期货      |33,890    |5,220     
9     |海通期货      |42,856      |-35,556   |安粮期货      |25,001    |714       |光大期货      |28,646    |8,339     
10    |银河期货      |38,935      |-12,970   |中信建投      |23,549    |578       |新湖期货      |27,442    |-8,568    
11    |中辉期货      |32,752      |-14,203   |新湖期货      |22,078    |-8,624    |银河期货      |27,324    |4,788     
12    |东方财富      |31,350      |-11,129   |国泰君安      |19,253    |-51       |广发期货      |24,667    |-200      
13    |华安期货      |30,867      |-8,626    |广发期货      |18,779    |444       |安粮期货      |21,746    |147       
14    |永安期货      |30,359      |-8,430    |一德期货      |18,762    |1,288     |兴证期货      |19,642    |-5,542    
15    |中信建投      |29,715      |-5,288    |弘业期货      |18,499    |287       |中信建投      |19,449    |1,131     
16    |徽商期货      |28,361      |-27,529   |华安期货      |18,237    |879       |国投安信期货  |16,000    |2,848     
17    |国泰君安      |27,900      |-12,149   |银河期货      |17,996    |-4,109    |国泰君安      |15,706    |1,919     
18    |方正中期      |21,258      |-9,033    |国投安信期货  |17,961    |-876      |华闻期货      |15,341    |-4,551    
19    |鲁证期货      |18,104      |166       |平安期货      |15,719    |1,554     |弘业期货      |14,077    |-1,099    
20    |国富期货      |17,939      |-2,227    |兴证期货      |15,552    |-1,068    |徽商期货      |12,772    |688       
合计  |              |986390      |-292103   |                |581226    |-13850    |              |686285    |-962      

品种：菜油OI              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |114,507     |-7,573    |中信期货      |11,630    |-371      |中粮期货      |25,125    |206       
2     |华泰期货      |36,353      |2,894     |国投安信期货  |7,231     |-198      |国投安信期货  |12,753    |-334      
3     |中信期货      |26,000      |4,213     |银河期货      |7,056     |1,750     |中信期货      |9,583     |-241      
4     |海通期货      |21,837      |2,533     |国富期货      |6,139     |1,188     |东证期货      |8,612     |16        
5     |光大期货      |21,278      |-5,712    |永安期货      |5,180     |-95       |兴证期货      |5,279     |139       
6     |徽商期货      |17,437      |-1,099    |中信建投      |5,064     |-34       |中信建投      |4,624     |103       
7     |华安期货      |16,607      |3,041     |安粮期货      |4,894     |305       |国海良时      |4,558     |-104      
8     |华西期货      |13,739      |-2,762    |东证期货      |4,753     |487       |建信期货      |4,060     |1,001     
9     |东吴期货      |11,797      |-3,225    |中粮期货      |4,666     |400       |中国国际      |3,858     |122       
10    |新湖期货      |10,380      |3,427     |申银万国      |4,400     |1,707     |华泰期货      |3,720     |-79       
11    |华闻期货      |9,585       |-2,958    |国泰君安      |4,078     |-65       |上海中期      |3,713     |-322      
12    |国泰君安      |9,049       |4,516     |兴证期货      |3,991     |-179      |鲁证期货      |3,098     |-8        
13    |美尔雅        |8,777       |-9,941    |建信期货      |3,885     |1,000     |安粮期货      |2,835     |80        
14    |银河期货      |8,738       |653       |信达期货      |3,110     |53        |大有期货      |2,373     |-14       
15    |平安期货      |8,628       |3,912     |一德期货      |2,989     |-699      |新湖期货      |2,069     |14        
16    |宏源期货      |7,825       |3,159     |鲁证期货      |2,682     |94        |摩根大通      |1,860     |0         
17    |东方财富      |6,317       |-998      |上海中期      |2,617     |-35       |申银万国      |1,820     |126       
18    |兴证期货      |5,710       |772       |华安期货      |2,543     |-323      |海通期货      |1,790     |370       
19    |安粮期货      |5,681       |-2,225    |大有期货      |2,438     |-12       |南华期货      |1,543     |-75       
20    |国富期货      |5,221       |1,759     |宏源期货      |1,953     |-180      |光大期货      |1,493     |11        
合计  |              |365466      |-5614     |                |91299     |4793      |              |104766    |1011      

品种：普麦PM              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |国投安信期货  |0           |0         |广州期货      |10        |0         |天风期货      |39        |0         
2     |盛达期货      |0           |0         |中国国际      |7         |0         |中州期货      |4         |0         
3     |申银万国      |0           |0         |鲁证期货      |3         |0         |方正中期      |1         |0         
4     |方正中期      |0           |0         |海通期货      |3         |0         |国投安信期货  |0         |0         
5     |中信期货      |0           |0         |东证期货      |3         |0         |盛达期货      |0         |0         
6     |鲁证期货      |0           |0         |申银万国      |2         |0         |申银万国      |0         |0         
7     |海通期货      |0           |0         |中信期货      |2         |0         |中信期货      |0         |0         
8     |东证期货      |0           |0         |中州期货      |2         |0         |鲁证期货      |0         |0         
9     |中国国际      |0           |0         |中信建投      |2         |0         |海通期货      |0         |0         
10    |天风期货      |0           |0         |永安期货      |2         |0         |东证期货      |0         |0         
11    |中州期货      |0           |0         |恒泰期货      |2         |0         |中国国际      |0         |0         
12    |中信建投      |0           |0         |东方财富      |2         |0         |中信建投      |0         |0         
13    |上海中期      |0           |0         |国投安信期货  |1         |0         |上海中期      |0         |0         
14    |永安期货      |0           |0         |盛达期货      |1         |0         |永安期货      |0         |0         
15    |中辉期货      |0           |0         |上海中期      |1         |0         |中辉期货      |0         |0         
16    |广州期货      |0           |0         |中辉期货      |1         |0         |广州期货      |0         |0         
17    |恒泰期货      |0           |0         |方正中期      |0         |0         |恒泰期货      |0         |0         
18    |东方财富      |0           |0         |天风期货      |0         |0         |东方财富      |0         |0         
合计  |              |0           |0         |                |44        |0         |              |44        |0         

品种：早籼RI              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |江西瑞奇      |3           |3         |东证期货      |10        |0         |江西瑞奇      |37        |-3        
2     |东航期货      |3           |2         |光大期货      |4         |0         |华泰期货      |1         |0         
3     |上海大陆      |2           |-1        |国泰君安      |4         |0         |上海大陆      |1         |1         
4     |方正中期      |2           |1         |平安期货      |4         |0         |南华期货      |1         |0         
5     |中原期货      |2           |2         |金元期货      |3         |0         |中财期货      |0         |0         
6     |广州期货      |2           |2         |中信建投      |3         |0         |弘业期货      |0         |0         
7     |华泰期货      |0           |0         |广州期货      |3         |-2        |徽商期货      |0         |0         
8     |中财期货      |0           |0         |方正中期      |2         |0         |方正中期      |0         |0         
9     |弘业期货      |0           |0         |中原期货      |2         |2         |鲁证期货      |0         |0         
10    |徽商期货      |0           |-2        |中财期货      |1         |0         |金元期货      |0         |0         
11    |鲁证期货      |0           |0         |弘业期货      |1         |0         |中原期货      |0         |0         
12    |金元期货      |0           |0         |鲁证期货      |1         |0         |东证期货      |0         |0         
13    |东证期货      |0           |0         |中大期货      |1         |0         |光大期货      |0         |0         
14    |光大期货      |0           |0         |上海中期      |1         |0         |东航期货      |0         |0         
15    |中信建投      |0           |0         |华泰期货      |0         |0         |中信建投      |0         |0         
16    |中大期货      |0           |0         |上海大陆      |0         |-1        |中大期货      |0         |0         
17    |上海中期      |0           |-1        |江西瑞奇      |0         |0         |上海中期      |0         |0         
18    |东吴期货      |0           |-2        |徽商期货      |0         |0         |东吴期货      |0         |0         
19    |国泰君安      |0           |0         |东航期货      |0         |-1        |国泰君安      |0         |0         
20    |南华期货      |0           |0         |东吴期货      |0         |0         |广州期货      |0         |0         
合计  |              |14          |4         |                |40        |-2        |              |40        |-2        

品种：菜粕RM              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |258,106     |-8,934    |五矿经易期货  |30,322    |2,201     |中粮期货      |75,756    |363       
2     |华泰期货      |109,544     |34,398    |中信期货      |21,718    |-583      |国投安信期货  |36,396    |2,033     
3     |新湖期货      |47,899      |-11,513   |银河期货      |21,598    |-3,743    |永安期货      |23,864    |360       
