					郑州商品交易所期货持仓排名表(2020-02-19)

品种：苹果AP              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
13    |华安期货      |2,374       |-536      |光大期货      |4,148     |-73       |南华期货      |5,332     |75        
14    |海通期货      |2,273       |-1,410    |摩根大通      |3,953     |-350      |中信建投      |5,038     |70        
15    |徽商期货      |1,928       |-2,594    |美尔雅        |3,561     |16        |申银万国      |5,025     |-276      
16    |国泰君安      |1,920       |553       |华金期货      |3,165     |1         |鲁证期货      |4,883     |54        
17    |天风期货      |1,612       |1,102     |徽商期货      |3,128     |-272      |招商期货      |4,775     |81        
18    |国投安信期货  |1,476       |54        |中信建投      |2,933     |37        |弘业期货      |4,760     |51        
19    |金瑞期货      |1,399       |-616      |宏源期货      |2,773     |-53       |国泰君安      |4,528     |452       
20    |东方财富      |1,367       |-109      |东吴期货      |2,761     |-190      |华泰期货      |4,010     |-502      
合计  |              |73973       |-30820    |                |167274    |-3898     |              |133230    |-4565     

品种：粳稻JR              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |天风期货      |146         |79        |国海良时      |48        |48        |天风期货      |208       |141       
2     |方正中期      |112         |82        |方正中期      |22        |21        |华安期货      |50        |49        
3     |中国国际      |91          |53        |永安期货      |22        |19        |方正中期      |21        |19        
4     |华安期货      |83          |71        |徽商期货      |21        |13        |国贸期货      |4         |-5        
5     |国海良时      |62          |62        |中国国际      |13        |-21       |申银万国      |2         |2         
6     |东航期货      |44          |-24       |平安期货      |13        |13        |长江期货      |2         |2         
7     |中信建投      |40          |40        |中信期货      |11        |7         |华泰期货      |1         |0         
8     |鲁证期货      |38          |17        |恒泰期货      |10        |10        |中粮期货      |1         |0         
9     |徽商期货      |35          |16        |银河期货      |9         |5         |中钢期货      |0         |0         
10    |银河期货      |35          |21        |新纪元期货    |8         |7         |新纪元期货    |0         |-7        
11    |华联期货      |21          |19        |鲁证期货      |8         |8         |上海大陆      |0         |0         
12    |永安期货      |21          |15        |华安期货      |8         |0         |国投安信期货  |0         |0         
13    |中财期货      |20          |19        |南华期货      |7         |2         |招商期货      |0         |0         
14    |倍特期货      |17          |-10       |海通期货      |6         |0         |格林大华期货  |0         |0         
15    |平安期货      |17          |15        |首创京都期货  |6         |5         |中财期货      |0         |0         
16    |新纪元期货    |14          |8         |国投安信期货  |5         |5         |弘业期货      |0         |0         
17    |中信期货      |13          |3         |申银万国      |5         |5         |江西瑞奇      |0         |0         
18    |东证期货      |13          |6         |中粮期货      |5         |4         |盛达期货      |0         |0         
19    |申银万国      |11          |5         |海证期货      |5         |1         |徽商期货      |0         |0         
20    |东兴期货      |10          |8         |浙江新世纪    |4         |4         |华龙期货      |0         |0         
合计  |              |843         |505       |                |236       |156       |              |289       |201       

品种：晚籼LR              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |新纪元期货    |0           |0         |中信期货      |3         |0         |中州期货      |4         |0         
2     |中信期货      |0           |0         |新纪元期货    |1         |0         |中辉期货      |1         |0         
3     |东航期货      |0           |0         |东航期货      |1         |0         |新纪元期货    |0         |0         
4     |中州期货      |0           |0         |中州期货      |0         |0         |中信期货      |0         |0         
5     |中辉期货      |0           |0         |中辉期货      |0         |0         |东航期货      |0         |0         
合计  |              |0           |0         |                |5         |0         |              |5         |0         

品种：甲醇MA              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |202,969     |-9,917    |东证期货      |93,967    |-5,853    |东证期货      |88,090    |-13,480   
2     |华泰期货      |65,475      |-8,533    |永安期货      |43,562    |-1,889    |申银万国      |58,199    |-1,101    
3     |中信期货      |57,371      |-5,879    |华泰期货      |43,010    |-7,015    |华泰期货      |52,286    |-19,878   
4     |东吴期货      |53,921      |-911      |光大期货      |34,633    |5,777     |永安期货      |36,757    |-8,799    
5     |新湖期货      |46,830      |-26,205   |海通期货      |34,424    |2,614     |光大期货      |33,535    |4,868     
6     |海通期货      |46,674      |-6,397    |银河期货      |27,829    |-7,766    |海通期货      |30,130    |-9,136    
7     |徽商期货      |44,257      |-6,252    |东吴期货      |27,485    |-2,521    |东吴期货      |29,247    |-3,710    
8     |华闻期货      |38,588      |-8,597    |中信期货      |27,002    |-8,516    |中信期货      |29,006    |-10,461   
9     |中辉期货      |33,724      |-5,360    |华安期货      |21,141    |171       |新湖期货      |24,358    |-3,550    
10    |光大期货      |31,857      |10,473    |新湖期货      |20,326    |-3,212    |银河期货      |22,783    |-980      
11    |银河期货      |29,198      |-6,352    |徽商期货      |20,177    |-1,391    |中粮期货      |21,676    |-371      
12    |东方财富      |28,890      |-4,399    |一德期货      |19,574    |-3,280    |兴证期货      |18,955    |-6,986    
13    |华安期货      |27,219      |-7,345    |中信建投      |18,725    |-840      |中信建投      |18,586    |-93       
14    |永安期货      |27,006      |-12,840   |国泰君安      |18,615    |402       |广发期货      |16,374    |-919      
15    |国泰君安      |24,986      |-9,672    |弘业期货      |17,796    |-596      |华安期货      |15,657    |1,412     
16    |中信建投      |22,031      |-579      |兴证期货      |17,153    |590       |国泰君安      |14,403    |-1,098    
17    |中国国际      |19,111      |7,365     |广发期货      |15,891    |-2,287    |徽商期货      |13,954    |396       
18    |弘业期货      |18,965      |900       |国投安信期货  |15,056    |162       |弘业期货      |12,397    |483       
19    |冠通期货      |18,761      |214       |申银万国      |15,033    |276       |国投安信期货  |10,872    |808       
20    |东航期货      |16,440      |4,708     |浙商期货      |12,381    |500       |方正中期      |10,641    |62        
合计  |              |854273      |-95578    |                |543780    |-34674    |              |557906    |-72533    

品种：菜油OI              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |108,754     |8,946     |中信期货      |10,984    |277       |中粮期货      |25,782    |-1,058    
2     |华泰期货      |29,927      |4,701     |永安期货      |8,077     |64        |国投安信期货  |14,279    |396       
3     |中信期货      |22,308      |-2,117    |东证期货      |5,289     |2,276     |中信期货      |11,407    |149       
4     |海通期货      |20,220      |4,249     |银河期货      |5,220     |-1,366    |东证期货      |6,109     |2,004     
5     |光大期货      |19,724      |4,481     |信达期货      |5,176     |20        |兴证期货      |5,660     |-199      
6     |华西期货      |18,290      |-1,634    |中信建投      |5,052     |302       |中信建投      |4,562     |62        
7     |徽商期货      |16,245      |-1,197    |国富期货      |4,841     |-614      |国海良时      |4,299     |173       
8     |华安期货      |15,688      |1,374     |国泰君安      |4,817     |-600      |上海中期      |4,268     |-13       
9     |新湖期货      |15,163      |-9,813    |安粮期货      |4,706     |-1,118    |鲁证期货      |3,725     |-387      
10    |平安期货      |14,055      |1,535     |兴证期货      |4,525     |-10       |申银万国      |3,462     |-302      
11    |安粮期货      |10,851      |2,236     |德盛期货      |4,406     |-174      |华泰期货      |3,287     |23        
12    |东吴期货      |10,823      |361       |徽商期货      |4,388     |-49       |安粮期货      |3,184     |-613      
13    |华闻期货      |10,542      |472       |中粮期货      |3,939     |-247      |中国国际      |2,615     |-50       
14    |方正中期      |7,863       |1,716     |一德期货      |3,269     |762       |光大期货      |2,567     |-194      
15    |东方财富      |7,704       |324       |建信期货      |3,248     |95        |南华期货      |2,371     |443       
16    |银河期货      |7,288       |-24       |华泰期货      |3,082     |-310      |新湖期货      |2,350     |34        
17    |国泰君安      |6,503       |2,392     |国投安信期货  |3,038     |98        |摩根大通      |2,265     |-295      
18    |宏源期货      |5,926       |628       |兴业期货      |2,699     |170       |建信期货      |2,216     |-7        
