交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	IF2006                        	3	上海东证	1857	-312	上海东证	1340	-53	平安期货	2276	-20
20200302	IF2006                        	4	海通期货	1683	307	一德期货	1249	12	国泰君安	1877	-141
20200302	IF2006                        	5	国信期货	1343	-329	华泰期货	1198	17	华泰期货	1384	-8
20200302	IF2006                        	6	华西期货	1295	-35	浙商期货	1089	-81	申银万国	1192	270
20200302	IF2006                        	7	兴证期货	1165	-78	国泰君安	955	-126	银河期货	1162	39
20200302	IF2006                        	8	光大期货	1142	217	国投安信	944	-80	海通期货	1038	-66
20200302	IF2006                        	9	华泰期货	969	-426	大越期货	848	-5	广发期货	804	-21
20200302	IF2006                        	10	西部期货	936	55	大地期货	824	26	国投安信	671	-38
20200302	IF2006                        	11	国投安信	926	-194	银河期货	789	-54	国信期货	665	-71
20200302	IF2006                        	12	银河期货	909	-284	广发期货	765	10	宝城期货	590	-13
20200302	IF2006                        	13	上海中期	734	-157	五矿经易	718	79	永安期货	587	-29
20200302	IF2006                        	14	中信建投	656	-161	海通期货	712	-27	招商期货	468	-18
20200302	IF2006                        	15	申银万国	631	27	中粮期货	643	223	瑞银期货	464	-210
20200302	IF2006                        	16	国富期货	570	9	申银万国	536	-65	兴业期货	461	75
20200302	IF2006                        	17	五矿经易	564	-1600	南华期货	526	-60	中信建投	421	-53
20200302	IF2006                        	18	方正中期	523	21	国信期货	517	-116	光大期货	417	-119
20200302	IF2006                        	19	华闻期货	514	-334	光大期货	491	-109	建信期货	385	0
20200302	IF2006                        	20	南华期货	467	-225	天风期货	489	-8	西部期货	350	59
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	IH2003                        	期货公司	80528	-676	44431	-3055	44431	-3055			
20200302	IH2003                        	非期货公司	0	0	0	0	0	0			
20200302	IH2006                        	期货公司	15134	-4240	14449	-440	14449	-440			
20200302	IH2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	IH2003                        	1	中信期货	6859	-57	中信期货	6253	-21	中信期货	4792	-10
20200302	IH2003                        	2	国泰君安	5640	81	国泰君安	5264	-451	华泰期货	3007	-477
20200302	IH2003                        	3	海通期货	4796	-384	海通期货	2071	-106	国投安信	2980	128
20200302	IH2003                        	4	五矿经易	4442	1853	上海东证	2036	-90	国泰君安	2666	177
20200302	IH2003                        	5	国投安信	3203	308	瑞银期货	1411	-9	上海东证	2418	-584
20200302	IH2003                        	6	华泰期货	3057	-143	银河期货	1405	-165	招商期货	2350	337
20200302	IH2003                        	7	兴证期货	2958	89	中金期货	1382	1	海通期货	1977	-460
20200302	IH2003                        	8	国信期货	2496	-112	兴证期货	1372	-42	永安期货	1891	-103
20200302	IH2003                        	9	上海东证	2440	-255	永安期货	1301	-161	国信期货	1474	156
20200302	IH2003                        	10	方正中期	2423	93	申银万国	1198	-156	五矿经易	1397	-1640
20200302	IH2003                        	11	西部期货	2366	266	南华期货	1174	39	银河期货	1358	46
20200302	IH2003                        	12	银河期货	2099	45	国投安信	1061	229	兴证期货	1269	-68
20200302	IH2003                        	13	申银万国	2057	31	华泰期货	1044	-328	申银万国	958	77
20200302	IH2003                        	14	南华期货	1942	10	西部期货	820	222	南华期货	918	171
20200302	IH2003                        	15	上海中期	1772	250	国信期货	813	114	广发期货	839	-136
20200302	IH2003                        	16	光大期货	1657	-159	五矿经易	757	42	西部期货	830	184
20200302	IH2003                        	17	广发期货	1604	-450	广发期货	730	-270	方正中期	735	-42
20200302	IH2003                        	18	鲁证期货	1467	90	方正中期	720	-11	安粮期货	698	-26
20200302	IH2003                        	19	招商期货	1332	268	平安期货	693	-17	国富期货	658	-50
20200302	IH2003                        	20	永安期货	1322	-145	中信建投	672	-157	光大期货	629	-197
