交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	IH2006                        	2	国投安信	1521	155	银河期货	978	136	招商期货	1624	14
20200313	IH2006                        	3	海通期货	1430	553	国投安信	829	35	华泰期货	1571	55
20200313	IH2006                        	4	国信期货	1323	472	申银万国	709	70	永安期货	1187	23
20200313	IH2006                        	5	中信期货	1270	-157	华泰期货	608	57	中信期货	1057	-35
20200313	IH2006                        	6	华西期货	1216	-121	永安期货	584	174	国信期货	1031	376
20200313	IH2006                        	7	华泰期货	1076	451	天风期货	561	18	国泰君安	969	100
20200313	IH2006                        	8	西部期货	942	360	国泰君安	547	35	上海东证	890	6
20200313	IH2006                        	9	华闻期货	807	203	大越期货	524	-8	海通期货	810	88
20200313	IH2006                        	10	上海东证	718	257	东吴期货	517	-117	银河期货	601	116
20200313	IH2006                        	11	五矿经易	679	193	国信期货	517	25	国投安信	595	92
20200313	IH2006                        	12	东吴期货	610	477	海通期货	486	-6	宝城期货	582	-23
20200313	IH2006                        	13	申银万国	558	315	上海东证	474	30	国元期货	443	-47
20200313	IH2006                        	14	兴证期货	529	61	方正中期	401	17	南华期货	367	25
20200313	IH2006                        	15	银河期货	510	267	广发期货	384	-38	西部期货	329	67
20200313	IH2006                        	16	广发期货	457	189	大地期货	352	2	华闻期货	198	-41
20200313	IH2006                        	17	招商期货	399	185	兴证期货	306	36	兴证期货	190	-3
20200313	IH2006                        	18	永安期货	349	39	五矿经易	302	73	光大期货	175	21
20200313	IH2006                        	19	平安期货	343	142	西部期货	293	85	五矿经易	164	16
20200313	IH2006                        	20	华联期货	333	275	华西期货	275	-232	华西期货	149	-272
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	TS2003                        	期货公司	0	0	0	-117	0	-117			
20200313	TS2003                        	非期货公司	0	0	0	0	0	0			
20200313	TS2006                        	期货公司	19764	-2794	11813	-745	11813	-745			
20200313	TS2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	TS2003                        	1	永安期货	0	0	永安期货	0	0	永安期货	0	-70
20200313	TS2003                        	2	华泰期货	0	0	华泰期货	0	0	华泰期货	0	-37
20200313	TS2003                        	3	中信期货	0	0	中信期货	0	-77	中信期货	0	0
20200313	TS2003                        	4	平安期货	0	0	平安期货	0	-40	平安期货	0	0
20200313	TS2003                        	5	上海东证	0	0	上海东证	0	0	上海东证	0	-10
20200313	TS2006                        	1	上海东证	3995	-2262	海通期货	1672	-10	银河期货	2691	-147
20200313	TS2006                        	2	申银万国	2113	-234	国投安信	1581	15	国投安信	2199	1
20200313	TS2006                        	3	中信期货	2086	-292	中信期货	1241	0	上海东证	1678	-11
20200313	TS2006                        	4	银河期货	1989	-793	宏源期货	801	-220	国泰君安	1100	0
20200313	TS2006                        	5	国金期货	1004	19	平安期货	783	-496	兴证期货	540	200
20200313	TS2006                        	6	平安期货	996	844	银河期货	734	-44	第一创业	420	-69
20200313	TS2006                        	7	方正中期	960	-142	上海东证	629	4	天风期货	412	-13
20200313	TS2006                        	8	天风期货	875	-432	东海期货	440	0	永安期货	345	6
20200313	TS2006                        	9	永安期货	740	-33	天风期货	410	-26	西南期货	341	0
20200313	TS2006                        	10	华泰期货	609	-1471	南华期货	326	195	华安期货	291	0
20200313	TS2006                        	11	海通期货	567	-116	山金期货	302	0	华泰期货	283	18
20200313	TS2006                        	12	华鑫期货	552	208	兴业期货	296	-25	和融期货	250	0
20200313	TS2006                        	13	南华期货	458	320	中电投  	275	-10	创元期货	185	0
20200313	TS2006                        	14	国投安信	442	156	华泰期货	267	-23	中信期货	142	-258
20200313	TS2006                        	15	宏源期货	222	143	国泰君安	251	-40	建信期货	130	-5
20200313	TS2006                        	16	兴证期货	200	200	广州期货	200	0	海通期货	125	37
20200313	TS2006                        	17	第一创业	195	55	一德期货	154	0	中电投  	120	120
20200313	TS2006                        	18	兴业期货	180	119	福能期货	153	0	兴业期货	111	-53
20200313	TS2006                        	19	中信建投	170	170	国海良时	141	140	广发期货	95	0
20200313	TS2006                        	20	中航期货	152	143	永安期货	126	-60	渤海期货	76	0
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	TF2003                        	期货公司	0	-216	0	-280	0	-280			
20200313	TF2003                        	非期货公司	0	0	0	0	0	0			
20200313	TF2006                        	期货公司	33656	11230	28581	-298	28581	-298			
20200313	TF2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	TF2003                        	1	南华期货	0	0	南华期货	0	0	南华期货	0	-9
20200313	TF2003                        	2	永安期货	0	0	永安期货	0	-276	永安期货	0	0
20200313	TF2003                        	3	中信期货	0	-42	中信期货	0	-4	中信期货	0	0
20200313	TF2003                        	4	银河期货	0	-38	银河期货	0	0	银河期货	0	-21
20200313	TF2003                        	5	国金期货	0	-50	国金期货	0	0	国金期货	0	-250
20200313	TF2006                        	1	上海东证	6340	-270	银河期货	4751	3	国泰君安	4651	32
20200313	TF2006                        	2	中信期货	4135	2031	平安期货	2755	-414	海通期货	2129	23
20200313	TF2006                        	3	国泰君安	1542	1048	中信期货	2464	434	广发期货	2087	26
20200313	TF2006                        	4	华泰期货	1535	598	国投安信	2067	61	华泰期货	1819	4
20200313	TF2006                        	5	天风期货	1461	536	和融期货	1790	0	渤海期货	1481	64
20200313	TF2006                        	6	西部期货	1432	798	上海东证	1299	280	华西期货	1374	-211
20200313	TF2006                        	7	永安期货	1315	548	海通期货	1203	-64	鲁证期货	1330	-56
20200313	TF2006                        	8	南华期货	1226	511	宏源期货	1197	-548	中信建投	1285	4
20200313	TF2006                        	9	宏源期货	1152	983	天风期货	937	95	第一创业	1226	-173
20200313	TF2006                        	10	国投安信	1066	556	永安期货	842	-70	平安期货	1162	0
20200313	TF2006                        	11	申银万国	1004	302	西南期货	762	-24	上海东证	1114	-370
20200313	TF2006                        	12	银河期货	956	-201	华泰期货	749	57	东海期货	1099	-4
20200313	TF2006                        	13	海通期货	947	202	宝城期货	728	346	永安期货	962	49
20200313	TF2006                        	14	上海中期	783	544	国泰君安	704	-44	国投安信	833	-21
20200313	TF2006                        	15	国金期货	751	-373	渤海期货	621	0	国信期货	718	1
20200313	TF2006                        	16	平安期货	574	423	广发期货	568	-200	银河期货	459	117
20200313	TF2006                        	17	宝城期货	551	501	东吴期货	560	0	国海良时	406	-100
20200313	TF2006                        	18	国信期货	546	352	中金期货	467	10	天风期货	396	30
20200313	TF2006                        	19	渤海期货	480	182	南华期货	412	16	光大期货	301	7
20200313	TF2006                        	20	方正中期	448	149	第一创业	407	0	信达期货	293	5
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	T2003                         	期货公司	2	-266	0	-116	0	-116			
20200313	T2003                         	非期货公司	0	0	0	0	0	0			
20200313	T2006                         	期货公司	193614	65046	75734	-216	75734	-216			
20200313	T2006                         	非期货公司	0	0	0	0	0	0			
